design_id,call_deltas,call_spread_widths,dte,put_deltas,put_spread_widths,strategy_type,take_profit_pct
162,0.03,,2,-0.065,,short_strangle,1.0
163,0.01,,3,-0.065,,short_strangle,0.75
164,0.02,,3,-0.065,,short_strangle,0.75
165,0.03,,3,-0.065,,short_strangle,0.75
166,0.01,,3,-0.065,,short_strangle,0.875
167,0.02,,3,-0.065,,short_strangle,0.875
168,0.03,,3,-0.065,,short_strangle,0.875
169,0.01,,3,-0.065,,short_strangle,1.0
170,0.02,,3,-0.065,,short_strangle,1.0
171,0.03,,3,-0.065,,short_strangle,1.0
172,0.01,,4,-0.065,,short_strangle,0.75
173,0.02,,4,-0.065,,short_strangle,0.75
174,0.03,,4,-0.065,,short_strangle,0.75
175,0.01,,4,-0.065,,short_strangle,0.875
176,0.02,,4,-0.065,,short_strangle,0.875
177,0.03,,4,-0.065,,short_strangle,0.875
178,0.01,,4,-0.065,,short_strangle,1.0
179,0.02,,4,-0.065,,short_strangle,1.0
180,0.03,,4,-0.065,,short_strangle,1.0
181,0.01,,0,-0.075,,short_strangle,0.75
182,0.02,,0,-0.075,,short_strangle,0.75
183,0.03,,0,-0.075,,short_strangle,0.75
184,0.01,,0,-0.075,,short_strangle,0.875
185,0.02,,0,-0.075,,short_strangle,0.875
186,0.03,,0,-0.075,,short_strangle,0.875
187,0.01,,0,-0.075,,short_strangle,1.0
188,0.02,,0,-0.075,,short_strangle,1.0
189,0.03,,0,-0.075,,short_strangle,1.0
190,0.01,,1,-0.075,,short_strangle,0.75
191,0.02,,1,-0.075,,short_strangle,0.75
192,0.03,,1,-0.075,,short_strangle,0.75
193,0.01,,1,-0.075,,short_strangle,0.875
194,0.02,,1,-0.075,,short_strangle,0.875
195,0.03,,1,-0.075,,short_strangle,0.875
196,0.01,,1,-0.075,,short_strangle,1.0
197,0.02,,1,-0.075,,short_strangle,1.0
198,0.03,,1,-0.075,,short_strangle,1.0
199,0.01,,2,-0.075,,short_strangle,0.75
200,0.02,,2,-0.075,,short_strangle,0.75
201,0.03,,2,-0.075,,short_strangle,0.75
202,0.01,,2,-0.075,,short_strangle,0.875
203,0.02,,2,-0.075,,short_strangle,0.875
204,0.03,,2,-0.075,,short_strangle,0.875
205,0.01,,2,-0.075,,short_strangle,1.0
206,0.02,,2,-0.075,,short_strangle,1.0
207,0.03,,2,-0.075,,short_strangle,1.0
208,0.01,,3,-0.075,,short_strangle,0.75
209,0.02,,3,-0.075,,short_strangle,0.75
